timestamp,left_temp,left_vel,left_deg,right_temp,right_vel,right_deg,rotation_deg,autonSelector_deg,hTracker_deg,imu_heading,mfl_temp,mfl_vel,mfl_deg,mml_temp,mml_vel,mml_deg,mbl_temp,mbl_vel,mbl_deg,mfr_temp,mfr_vel,mfr_deg,mmr_temp,mmr_vel,mmr_deg,mbr_temp,mbr_vel,mbr_deg,imu_rotation,imu_pitch,imu_roll
6860,40.000000,-337.666667,2.466667,40.000000,-333.533333,-0.420000,1.026667,197.050000,21474836.470000,92.633704,40.000000,-342.000000,2.460000,40.000000,-341.200000,2.466667,40.000000,-329.800000,2.473333,40.000000,-338.000000,-0.426667,40.000000,-337.800000,-0.426667,40.000000,-324.800000,-0.406667,92.633704,-0.738992,7.579282
6968,40.000000,-386.733333,1.851111,40.000000,-361.666667,-1.017778,0.413333,197.050000,21474836.470000,92.216736,40.000000,-395.600000,1.840000,40.000000,-383.000000,1.853333,40.000000,-381.600000,1.860000,40.000000,-365.800000,-1.020000,40.000000,-365.400000,-1.013333,40.000000,-353.800000,-1.020000,92.216736,-0.829845,8.519765
7079,40.000000,-416.133333,1.105556,40.000000,-398.066667,-1.736667,-0.321667,197.050000,21474836.470000,91.699199,40.000000,-405.600000,1.090000,40.000000,-423.000000,1.110000,40.000000,-419.800000,1.116667,40.000000,-403.200000,-1.740000,40.000000,-399.000000,-1.733333,40.000000,-392.000000,-1.736667,91.699199,-0.671857,8.831795
7191,40.000000,-281.733333,0.313333,40.000000,-254.200000,-2.495556,-1.088333,196.960000,21474836.470000,91.250529,40.000000,-262.600000,0.306667,40.000000,-291.600000,0.310000,40.000000,-291.000000,0.323333,40.000000,-261.800000,-2.483333,40.000000,-272.200000,-2.516667,40.000000,-228.600000,-2.486667,91.250529,-0.518185,8.683740
7299,40.000000,-304.600000,-0.206667,40.000000,-273.666667,-2.994444,-1.605000,196.960000,21474836.470000,90.456779,40.000000,-308.000000,-0.223333,40.000000,-305.800000,-0.203333,40.000000,-300.000000,-0.193333,40.000000,-254.600000,-2.986667,40.000000,-291.400000,-3.000000,40.000000,-275.000000,-2.996667,90.456779,-0.494647,7.326612
7410,40.000000,-82.933333,-0.524444,40.000000,-28.333333,-3.245556,-1.890000,196.870000,21474836.470000,89.832450,40.000000,-87.800000,-0.540000,40.000000,-82.600000,-0.523333,40.000000,-78.400000,-0.510000,40.000000,-34.400000,-3.250000,40.000000,-18.600000,-3.246667,40.000000,-32.000000,-3.240000,89.832450,0.458883,3.422431
7522,40.000000,-45.200000,-0.592222,40.000000,-27.266667,-3.287778,-1.941667,196.870000,21474836.470000,92.744617,40.000000,-17.800000,-0.596667,40.000000,-41.400000,-0.596667,40.000000,-76.400000,-0.583333,40.000000,-19.000000,-3.286667,40.000000,-14.800000,-3.286667,40.000000,-48.000000,-3.290000,92.744617,0.000489,7.459970
7630,40.000000,-41.800000,-0.668889,40.000000,-23.266667,-3.298889,-1.983333,196.960000,21474836.470000,93.174705,40.000000,-24.800000,-0.673333,40.000000,-29.600000,-0.670000,40.000000,-71.000000,-0.663333,40.000000,-17.000000,-3.293333,40.000000,-11.600000,-3.300000,40.000000,-41.200000,-3.303333,93.174705,-0.276274,7.803451
7741,40.000000,-35.866667,-0.690000,40.000000,-24.933333,-3.313333,-1.996667,196.960000,21474836.470000,92.414935,40.000000,-9.600000,-0.690000,40.000000,-56.200000,-0.690000,40.000000,-41.800000,-0.690000,40.000000,-14.000000,-3.303333,40.000000,-22.000000,-3.316667,40.000000,-38.800000,-3.320000,92.414935,0.024913,7.029265
7850,40.000000,9.133333,-0.684444,40.000000,10.800000,-3.306667,-1.995000,196.960000,21474836.470000,92.659620,40.000000,3.800000,-0.686667,40.000000,9.000000,-0.686667,40.000000,14.600000,-0.680000,40.000000,0.000000,-3.303333,40.000000,22.000000,-3.303333,40.000000,10.400000,-3.313333,92.659620,-0.036425,7.080218
7961,40.000000,6.866667,-0.683333,40.000000,3.466667,-3.304444,-1.993333,196.960000,21474836.470000,92.682361,40.000000,-0.000000,-0.686667,40.000000,9.000000,-0.686667,40.000000,11.600000,-0.676667,40.000000,0.000000,-3.303333,40.000000,-0.000000,-3.300000,40.000000,10.400000,-3.310000,92.682361,0.135231,6.598020
8072,40.000000,0.000000,-0.683333,40.000000,4.666667,-3.302222,-1.991667,196.960000,21474836.470000,92.666698,40.000000,-0.000000,-0.686667,40.000000,0.000000,-0.686667,40.000000,-0.000000,-0.676667,40.000000,14.000000,-3.300000,40.000000,-0.000000,-3.296667,40.000000,0.000000,-3.310000,92.666698,0.098617,6.050880
8181,40.000000,0.000000,-0.683333,40.000000,-22.933333,-3.303333,-1.991667,196.960000,21474836.470000,92.663981,40.000000,-0.000000,-0.686667,40.000000,0.000000,-0.686667,40.000000,-0.000000,-0.676667,40.000000,-68.800000,-3.303333,40.000000,-0.000000,-3.296667,40.000000,0.000000,-3.310000,92.663981,0.362561,5.871220
8292,40.000000,3.133333,-0.682222,40.000000,0.000000,-3.302222,-1.991667,196.960000,21474836.470000,92.666395,40.000000,-0.000000,-0.686667,40.000000,9.400000,-0.683333,40.000000,-0.000000,-0.676667,40.000000,0.000000,-3.300000,40.000000,-0.000000,-3.296667,40.000000,0.000000,-3.310000,92.666395,0.392472,5.316780
